file	status	slides	text_chars	sample
D:\Project\Project-On\CANTIQUE D'ADORATION\A celui qui nous a lavés.ppt	OK	4	591	A CELUI QUI NOUS A LAVES ( F ) * A celui qui nous a lavés, Qui nous a tant aimés, Par Son sang nous a rachetés, Soit gloire, gloire, gloire, Louange à jamais ! | * Chantons le cantique nouveau A l’honneur de l’Agneau , Q
D:\Project\Project-On\CANTIQUE D'ADORATION\A Dieu soit la Gloire.ppt	OK	4	733	105. A DIEU SOIT LA GLOIRE ( F ) * A Dieu soit la gloire ! Par son grand amour Dans mon âme noire S’est levé le jour. Jésus, à ma place, Mourut sur la croix, Il m’offre sa grâce Et je la reçois ! | Gloire à Dieu ! (bis) 
D:\Project\Project-On\CANTIQUE D'ADORATION\A Golgotha - Copie.ppt	OK	1	126	179. A GOLGOTHA A Golgotha, Tu meurs pour moi, Dans Ton immense amour Jésus mon Roi, Je viens à Toi, Pour T’aimer à mon tour.
D:\Project\Project-On\CANTIQUE D'ADORATION\A Golgotha.ppt	OK	1	126	179. A GOLGOTHA A Golgotha, Tu meurs pour moi, Dans Ton immense amour Jésus mon Roi, Je viens à Toi, Pour T’aimer à mon tour.
D:\Project\Project-On\CANTIQUE D'ADORATION\A Jésus je m'abandonne.ppt	OK	8	1018	Compter sur Lui A Jésus je m’abandonne Ce qu’il me dit, je le crois Et je prends ce qu’il me donne La couronne avec la croix | Chœur : Compter sui Lui d’heure en heure Tant que dure le combat Que l’on vive ou que l’on me
D:\Project\Project-On\CANTIQUE D'ADORATION\A la croix aux pieds du Maître.ppt	OK	6	1118	3a. A LA CROIX AUX PIEDS DU MAITRE. ( G ) * A la Croix, aux pieds du Maître A genoux, j’ai fait mon choix Son disciple je veux être Tout près de Lui, par la foi Brebis de Sa bergerie, Nul ne m’ôte de Sa main Sur les mont
D:\Project\Project-On\CANTIQUE D'ADORATION\A la croix où j'ai vu la lumière.ppt	OK	8	1191	282.A LA CROIX OU J’AI VU LA LUMIERE ( Eb ) Hélas ! Mon Sauveur saigna-t-Il ? Mon Souverain mourut-Il ? Dut –Il livrer /Sa tête sacrée Pour un ver tel que moi ? | A la croix, à la croix où j’ai vu la Lumière Et le fardea
D:\Project\Project-On\CANTIQUE D'ADORATION\A la Croix où mourut mon Sauveur.ppt	OK	8	930	125. GLOIRE A SON NOM ( G ) * A la croix où mourut mon Sauveur, où j’ai crié pour me purifier; Là, le sang fut appliqué à mon cœur; Gloire à Son Nom ! | Gloire à Son Nom! Gloire à Son Nom! où, le sang fut appliqué à mon 
D:\Project\Project-On\CANTIQUE D'ADORATION\A la croix, à la croix.ppt	OK	2	305	232. A LA CROIX, A LA CROIX ( Eb ) A la croix, à la croix Où j’ai reçu le pardon Le fardeau de mon cœur est ôté Je ne crains rien Car je suis racheté Et je chante à celui Qui m’a sauvé | N’ekulusu, n’ekulusu Epayi na lim
D:\Project\Project-On\CANTIQUE D'ADORATION\Acclamez le nom de Jésus.ppt	OK	5	879	283.ACCLAMEZ LE NOM DE JESUS ( G ) * Acclamez le Nom de Jésus ! Que les anges se prosternent; Apportez le diadème royal Couronnez-le Seigneur, Apportez le diadème royal, Couronnez-le Seigneur. | * Semence d’Israël, race 
D:\Project\Project-On\CANTIQUE D'ADORATION\Agneau de Dieu Messager de la grâce.ppt	OK	4	761	2. AGNEAU DE DIEU, MESSAGER DE LA GRACE * Agneau de Dieu, messager de la grâce, Je veux entendre ta voix, le langage de la croix: Pour Toi je fus livré, Méprisé, maltraité, Battu, meurtri, blessé; Pour Ton iniquité. | * 
D:\Project\Project-On\CANTIQUE D'ADORATION\Akobutwa.ppt	OK	6	496	284.AKOBUTWA. ( Eb ) *Akobutwa, akobutwa, Mokonji Masiya, Akobyanga bana mike Mpe bato na Ye. | Tokosepelana kuna, Na Yesu Masiya, Tokojala mpe malamu, Na Mboka na Ye. | * Akoluka, akoluka, bayekoli solo, Akobikisaka ban
D:\Project\Project-On\CANTIQUE D'ADORATION\Alléluia, Alléluia.ppt	OK	7	950	285.ALLÉLUIA, ALLÉLUIA ( D ) Alléluia, alléluia Alléluia, alléluia * Jésus aime Sa parole, c’est ce qu’il aime x2 Ce que Jésus aime, c’est ce que j’aime Car je l’aime, | Alléluia, alléluia Alléluia, alléluia | * Jésus ai
